*2020_STATIONINFO_INFOSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DEFINITIONS_DÉFINITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
************************************2020_STATIONINFO_INFOSTATION************************************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPS_ID,Station_Name,Status,Location_Address,City,P/T,Postal_Code,Timezone,Latitude,Longitude,Elevation,Start_Year,End_Year,Combined_Stations,Inlet_Height,Network,SO2,CO,NO2,NO,NOX,O3,PM_25_Continuous,PM_10_Continuous,PM_2.5_RM,PM10-2.5,PM2.5_SPEC,VOC,Carbonyl,PAH,Site_Type,Urbanization,Neighbourhood,Land_Use,Scale,PC,CD,CSD,CMA/CA,AQMS_Airzone,Core_Site
Identifiant_SNPA,Nom de la station,Statut,Emplacement_Address,Ville,P/T,Code_postal,Fuseau_horaire,Latitude,Longitude,Élévation,Début_année,Fin_année,Stations_combinées,Hauteur_entrée,Réseau,SO2,CO,NO2,NO,NOX,O3,PM25_en_continu,PM10_en_continu,PM_2.5_MR,PM10-2.5,PM2.5_SPEC,COV,Carbonyle,HAP,Type_de_site,Urbanisation,Quartier,Utilisation_du_sol,Échelle,PC,CD,CSD,CMA/CA,SGQA_zones_atmosphérique,Sites_principaux
10101,DUCKWORTH & ORDINANCE,0,DUCKWORTH & ORDINANCE,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,A1C 1E4,-3.5,47.56806,-52.70222,7,1975-01-01,1988-12-31,,,N,X,X,X,X,X,X,,,,,,,,,PE,LU,P4,W,na,St. John's (N.L),01. Division No. 1,"St. John's, CY 01 519","001. St. John's, CMA/RMR",Newfoundland,
10102,WATER STREET POST OFFICE,1,354 WATER STREET,ST. JOHN'S,NEWFOUNDLAND AND LABRADOR,A1C 1C4,-3.5,47.56038,-52.71147,7,1988-01-01,,,4,N,X,X,X,X,X,X,X,,X,,,X,,,PE,LU,P4,R,MD,St. John's (N.L),01. Division No. 1,"St. John's, CY 01 519","001. St. John's, CMA/RMR",Newfoundland,2
10201,CORMACK,0,CORMACK,CORMACK,NEWFOUNDLAND AND LABRADOR,A0K 2E0,-3.5,49.26212,-57.45457,120,,,,,N,,,,,,,,,,,,,,,RB,NU,P1,F,na,Deer Lake (N.L.),05. Division No. 5,"Cormack, T 05 014","015. Corner Brook, CA/AR",Newfoundland,
10301,CREDIT UNION,0,BROOK STREET,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,A2H 2T7,-3.5,48.949479,-57.945387,5,2001-01-01,2010-12-31,10602,,N,X,X,X,X,X,X,,,,,,,,X,PE,SU,P3,I,na,Corner Brook (N.L.),05. Division No. 5,"Corner Brook, CY 05 018","015. Corner Brook, CA/AR",Newfoundland,
10400,CENTRAL NEWFOUNDLAND,0,AFB GANDER,GANDER,NEWFOUNDLAND AND LABRADOR,A2B 1C6,-3.5,48.94287,-54.55753,125,2011-01-01,18/06/2014,,,N,,,,,,,,,,,,,,,PE,SU,P2,C,na,Gander (N.L.),06. Division No. 6,"Gander, T 06 009","011. Gander, CA/AR",Newfoundland,
10401,MOUNT PEARL,1,OLD PLACENTIA ROAD,MOUNT PEARL,NEWFOUNDLAND AND LABRADOR,A1N 4P4,-3.5,47.50513,-52.79476,135,2002-01-01,,,4,N,X,X,X,X,X,X,X,,,,,,,,PE,LU,P3,R,NE,St. John's (N.L),01. Division No. 1,"Mount Pearl, CY 01 542","001. St. John's, CMA/RMR",Newfoundland,
10501,ABITIBI SITE,1,SCOTT AVENUE,GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,A2A 2K1,-3.5,48.92696,-55.65966,62,2004-01-01,,,3,N,X,,X,X,X,X,X,,,,,,,,PE,SU,P3,I,NE,Grand Falls-Windsor (N.L.),06. Division No. 6,"Grand Falls-Windsor, T 06 017","010. Grand Falls-Windsor, CA/AR",Newfoundland,
10601,GOOSE BAY,1,ABBOT STREET,HAPPY VALLEY - GOOSE BAY,NEWFOUNDLAND AND LABRADOR,A0P 1C0,-4,53.306,-60.36314,39,2005-01-01,,,4,C,,,,,,X,,,,,,,,,PE,SU,P2,I,RE,Happy Valley-Goose Bay (N.L.),10. Division No. 10,"Happy Valley-Goose Bay, T 10 025",,Labrador,
10602,MACPHERSON AVENUE,1,MACPHERSON AVE,CORNER BROOK,NEWFOUNDLAND AND LABRADOR,A2H 6Z4,-3.5,48.95224,-57.92207,100,2009-01-01,,10301,3,N,X,X,X,X,X,X,X,,,,,,,,PE,SU,P3,R,NE,Corner Brook (N.L.),05. Division No. 5,"Corner Brook, CY 05 018","015. Corner Brook, CA/AR",Newfoundland,
10701,FERROLE POINT,0,FERROLE POINT LIGHTHOUSE,FERROLE POINT,NEWFOUNDLAND AND LABRADOR,A0K 4L0,-3.5,51.021995,-57.095567,13,2004-01-01,2009-12-31,10801,,N,,,,,,X,,,,,,,,,RB,NU,P1,F,na,none,09. Division No. 9,"Division No.9, Subd. C, SNO 09 021",,Newfoundland,
10801,PORT AU CHOIX,1,PORT AU CHOIX (Town Hall),PORT AUX CHOIX,NEWFOUNDLAND AND LABRADOR,A0K 4C0,-3.5,50.7123,-57.36421,13,2010-01-01,,10701,6,N,,,,,,X,,,,,,,,,RB,NU,P2,F,RE,none,09. Division No. 9,"Port au choix, T 09 022",,Newfoundland,
10901,MARYSTOWN_BURIN,1,18 HWY 220 (Main St.),BURIN,NEWFOUNDLAND AND LABRADOR,A0E 2E0,-3.5,47.09899,-55.19852,1,2012-01-01,,,4,N,X,,X,X,X,X,X,X,,,,,,,RB,NU,P2,R,RE,Marystown (N.L.),02. Division No. 2,"Burin, T 02 ",,Newfoundland,
11001,LABRADOR CITY - SMOKEY MOUNTAIN,0,,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,,-4,52.9518,-66.9156,540,2014-01-01,2015-12-31,11002,,N,,,X,X,X,X,,,,,,,,,PS,SU,P2,C,NE,Labrador City (N.L.),10. Division No. 10,"Division No. 10, Sudv D 10 029",,Labrador,
11002,FIREHALL-LABRADORCITY2,1,317 HUDSON DRIVE,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,A2V 1L6,-4,52.945487,-66.910306,558,2015-01-01,,11001,3,N,X,X,X,X,X,X,X,,,,,,,,PS,SU,P2,R,NE,Labrador City (N.L.),10. Division No. 10,"Division No. 10, Sudv D 10 029",,Labrador,
20101,56 FITZROY ST.,0,56 FITZROY ST.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 1R5,-4,46.23543,-63.13078,2,1974-01-01,1997-12-31,,,N,,,,,,,,,,,,,,,PE,MU,P3,R,na,Charlottetown (P.E.I.),02. Queens,"Charlottetown, CY 02 075","105. Charlottetown, CA/AR",PrinceEdwardIsland,
20102,16 FITZROY ST.,0,16 FITZROY ST.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 1R1,-4,46.23405,-63.1332,2,2003-01-01,2003-01-01,,,N,,,,,,,,,,,,,,,PE,MU,P3,R,na,Charlottetown (P.E.I.),02. Queens,"Charlottetown, CY 02 075","105. Charlottetown, CA/AR",PrinceEdwardIsland,
20103,CHARLOTTETOWN 1,0,11 KENT STREET,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 7N8,-4,46.23277,-63.13337,30,,,,,N,,,,,,,,,,,,,,,PE,MU,P3,R,na,Charlottetown (P.E.I.),02. Queens,"Charlottetown, CY 02 075","105. Charlottetown, CA/AR",PrinceEdwardIsland,
20104,CHARLOTTETOWN ,1,3 BRIGHTON ROAD,CHARLOTTETOWN,PRINCE EDWARD ISLAND,C1A 8T6,-4,46.233,-63.13667,21,2014-01-01,,,"9:O3,SO2,NOX / 5:PM25",N,X,,X,X,X,X,X,,,,,,,,T,MU,P3,R,NE,Charlottetown (P.E.I.),02. Queens,"Charlottetown, CY 02 075","105. Charlottetown, CA/AR",PrinceEdwardIsland,2
20201,ATLANTIC WIND TEST SITE,0,NORTH CAPE,NORTH CAPE,PRINCE EDWARD ISLAND,,-4,47.055,-63.99722,4,1992-01-01,1997-12-31,,,N,,,,,,,,,,,,,,,RB,NU,P1,A,na,none,03. Prince,"Lot 1, LOT 03 058",,PrinceEdwardIsland,
20301,WELLINGTON,1,40 ROUTE 125 (HACKMATACK ROAD),WELLINGTON,PRINCE EDWARD ISLAND,C0B 2E0,-4,46.47843,-63.98763,6,2014-01-01,,,1.52,N,,,X,X,X,X,X,,,,,,,,RB,NU,P2,F,RE,none,03. Prince,"Wellington, COM 03 029",110. Summerside CA/AR,PrinceEdwardIsland,
20401,SOUTHAMPTON-Eastern District Agriculture And Forestry,1,2580 ROUTE 313 (CARDIGAN ROAD),SOUTHAMPTON,PRINCE EDWARD ISLAND,C0A 2A0,-4,46.38635,-62.58272,30,2014-01-01,,,"2.67 OZONE, 4.88 PM 2.5",N,,,X,X,X,X,X,,X,,,,,,RB,NU,P1,A,RE,none,01. Kings,"St. Peters Bay, COM 01 044","105. Charlottetown, CA/AR",PrinceEdwardIsland,
30101,DALTECH,0,"DALTECH, C BUILDING, 1360 BARRINGTON STREET",HALIFAX,NOVA SCOTIA,B3J 1B6,-4,44.64202,-63.57362,35,1974-01-01,1974-10-01,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30102,DALHOUSIE UNIVERSITY,0,DALHOUSIE UNIVERSITY,HALIFAX,NOVA SCOTIA,B3H 3Z1,-4,44.63611,-63.59583,37,1974-01-01,1995-10-01,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30113,JOHNSTON BUILDING,1,1672 GRANVILLE STREET,HALIFAX,NOVA SCOTIA,B3J 2N2,-4,44.64711,-63.57366,28,2006-01-01,,30118,12,N,X,X,X,X,X,X,X,,X,X,X,X,,,PE,LU,P4,R,MD,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,1
30114,MT ST VINCENT UNIVERSITY,0,MT ST VINCENT UNIVERSITY,HALIFAX,NOVA SCOTIA,B3M 3J8,-4,44.67111,-63.64389,12,1974-01-01,1985-12-31,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30115,CFB SHEARWATER,0,CFB SHEARWATER,HALIFAX,NOVA SCOTIA,B0J 3A0,-4,44.62611,-63.51944,15,1974-01-01,1998-12-31,,,N,,,,,,,,,,,,,,,PE,LU,P3,W,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30116,HALIFAX CITY HALL,0,BARRINGTON & DUKE,HALIFAX,NOVA SCOTIA,B3J 3N8,-4,44.6492,-63.57507,21,1974-01-01,1985-12-31,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30117,BEDFORD ROW POST OFFICE,0,BEDFORD ROW POST OFFICE,HALIFAX,NOVA SCOTIA,B3J 1M7,-4,44.64732,-63.57205,9,1986-01-01,1990-12-31,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30118,VOGUE BUILDING,0,1649 BARRINGTON STREET,HALIFAX,NOVA SCOTIA,B3J 2A1,-4,44.646425,-63.573383,18,1990-01-01,2018-12-01,30113,9,N,X,X,X,X,X,X,,,,,,X,,,PE,LU,P4,R,MD,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30119,HARBOURVIEW SCHOOL,0,HARBOURVIEW SCHOOL,HALIFAX,NOVA SCOTIA,B3A 4H4,-4,44.68113,-63.58973,44,1993-01-01,1995-03-04,,,N,,,,,,,,,,,,,,,PE,LU,P4,R,na,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30120,LAKE MAJOR,1,341 CHERRYBROOK ROAD,HALIFAX ,NOVA SCOTIA,B2Z 1B3,-4,44.719799,-63.480754,68,2001-01-01,,,2,N,X,,X,X,X,X,X,,,,,,,,PE,LU,P2,F,NE,Halifax (N.S.),09. Halifax,"Halifax, RGM 09 034","205. Halifax, CMA/RMR",Central Region,
30201,PORT HAWKESBURY,1,23 EMBREE STREET,PORT HAWKESBURY,NOVA SCOTIA,B9A 2P6,-4,45.614161,-61.362356,14,2003-01-01,,,5,N,X,,X,X,X,X,X,,,,,,,,PS,SU,P2,R,NE,Port Hawkesbury (N.S.),15. Inverness,"Port Hawkesbury, T 15 002",,Eastern Region,
30202,PORT HAWKESBURY PLAYGROUND,0,QUEEN STREET EXTENSION,PORT HAWKESBURY,NOVA SCOTIA,B9A 3N5,-4,45.60907,-61.34227,24,,,,,N,,,,,,,,,,,,,,,PE,SU,P2,R,na,Port Hawkesbury (N.S.),15. Inverness,"Port Hawkesbury, T 15 002",,Eastern Region,
30301,MURPHY ROAD,0,MURPHY ROAD,SYDNEY,NOVA SCOTIA,B1R 1W4,-4,46.13028,-60.21139,9,2009-01-01,2011-12-31,,,N,,,,,,,,,,,,,,,PE,SU,P3,R,na,Cape Breton - Sydney (N.S.),17. Cape Breton,"Cape Breton, RGM 17 030","225. Cape Breton, CA/AR",Eastern Region,
30302,SYDNEY STEEL CORPORATION,0,SYDNEY STEEL CORPORATION,SYDNEY,NOVA SCOTIA,B1N 2E3,-4,46.15391,-60.1845,29,2008-01-01,2010-12-31,30310,,N,,,,,,X,,,,,,,,,PE,SU,P3,R,na,Cape Breton - Sydney (N.S.),17. Cape Breton,"Cape Breton, RGM 17 030","225. Cape Breton, CA/AR",Eastern Region,
30309,PORT EDWARD RICHMOND PLST,0,PORT EDWARD RICHMOND PLST,SYDNEY,NOVA SCOTIA,,-4,46.154722,-60.211389,,1974-01-01,31/08/1983,,,N,,,,,,,,,,,,,,,PE,SU,P2,I,,Cape Breton - Sydney (N.S.),17. Cape Breton,"Cape Breton, RGM 17 030","225. Cape Breton, CA/AR",Eastern Region,
30310,WELTON STREET SYDNEY,1,71 WELTON STREET,SYDNEY,NOVA SCOTIA,B1P 5R2,-4,46.14222,-60.17252,27,1974-01-01,,30302,5,N,X,X,X,X,X,X,X,,,,,,,,PE,SU,P3,R,NE,Cape Breton - Sydney (N.S.),17. Cape Breton,"Cape Breton, RGM 17 030","225. Cape Breton, CA/AR",Eastern Region,
